scan,side,vessel,err,bed,meas_lost,clean,nout_clean,nout_bad,A,B,C,r_branch,branch_before_meas
52,right,RCA,T1,apport,False,0.8007422871906346,2.0,1.0,0.9062118460819009,0.7922853176279301,0.9257527612934947,0.8383097922150478,False
52,right,RCA,T4,leaky,False,0.8218716423085862,2.0,2.0,0.8266371657051128,0.8609757858864123,0.9977884379948073,,
52,right,RCA,T4,share,False,0.8000181511964967,2.0,2.0,0.8177542919589298,0.8212454619877891,0.9971285522153617,,
52,right,RCA,T4,leaf3,False,0.8016003298153556,2.0,2.0,0.8201421213086539,0.8212419300073461,0.9971286644104873,,
52,right,RCA,T4,apport,False,0.8007422871906346,2.0,2.0,0.8188405628107157,0.8212432767061619,0.9971286220316619,,
69,left,LAD,T4,leaky,False,0.8909828539401737,4.0,4.0,0.8831764032229314,0.8932649605793838,0.9969967158239741,,
69,left,LAD,T4,share,False,0.7974121828873305,4.0,4.0,0.7996261606782548,0.7914156890042138,0.7930926532276116,,
69,left,LAD,T4,leaf3,False,0.8750082027067545,4.0,4.0,0.8700093513537822,0.867194501395533,0.8672003977003231,,
69,left,LAD,T4,apport,False,0.8089346959583833,4.0,4.0,0.8097128441523922,0.8049004029405064,0.8064301140612692,,
69,left,LCX,T1,leaky,False,0.8788416560705226,4.0,3.0,0.9239494468715798,0.8782866308116092,0.8780496665159288,0.9896024291234939,True
69,left,LCX,T1,share,False,0.8195797788790792,4.0,3.0,0.9244967039625519,0.8226491392470006,0.8958687219224349,0.9896024291234939,True
69,left,LCX,T1,leaf3,False,0.8231956913079008,4.0,3.0,0.9266916099411175,0.8923726100335123,0.931130280285977,0.9896024291234939,True
69,left,LCX,T1,apport,False,0.8425439054250677,4.0,3.0,0.9350621030372943,0.8446188663821184,0.9096998429302235,0.9896024291234939,True
69,left,LCX,T4,leaky,False,0.8788416560705226,4.0,4.0,0.8761281052995327,0.9078092977899715,0.9987129713841747,,
69,left,LCX,T4,share,False,0.8195797788790792,4.0,4.0,0.8268461605173831,0.7914173181760197,0.7672158618781526,,
69,left,LCX,T4,leaf3,False,0.8231956913079008,4.0,4.0,0.8300351632669726,0.81278219212482,0.8116051538915872,,
69,left,LCX,T4,apport,False,0.8425439054250677,4.0,4.0,0.8471730021962989,0.8141774672648361,0.7941108997977804,,
69,right,RCA,T1,leaky,False,0.7702367186305024,2.0,1.0,0.8140238402068305,0.7691733208175696,0.7674263187401666,1.019806287764926,False
69,right,RCA,T1,share,False,0.79391109992075,2.0,1.0,0.8816719234051728,0.7852272038842136,0.9064360845130927,1.019806287764926,False
69,right,RCA,T1,leaf3,False,0.7982034529826922,2.0,1.0,0.8942846491507209,0.7852272038842136,0.9178635537010184,1.019806287764926,False
69,right,RCA,T1,apport,False,0.7961758710873879,2.0,1.0,0.8885812692363976,0.7852272038842136,0.9127736934794765,1.019806287764926,False
69,right,RCA,T4,leaky,False,0.7702367186305024,2.0,2.0,0.7929167911357746,0.8304079617393783,0.9982051479837528,,
69,right,RCA,T4,share,False,0.79391109992075,2.0,2.0,0.8474411630112716,0.8387928527778276,0.9980288875917926,,
69,right,RCA,T4,leaf3,False,0.7982034529826922,2.0,2.0,0.8503092378866827,0.8444599739241119,0.9980573197876688,,
69,right,RCA,T4,apport,False,0.7961758710873879,2.0,2.0,0.8488987563545127,0.8420955682019632,0.9980488438298066,,
80,left,LAD,T4,leaky,False,0.9042386854954247,3.0,3.0,0.8970050965020265,0.906133455634445,0.9044364346818254,,
80,left,LAD,T4,share,True,,,,,,,,
80,left,LAD,T4,leaf3,True,,,,,,,,
80,left,LAD,T4,apport,True,,,,,,,,
80,right,RCA,T4,leaky,False,0.8203966353188965,2.0,1.0,0.8091998096058214,0.8378080516027826,0.996510885642359,,
80,right,RCA,T4,share,False,0.8080763847627673,1.0,1.0,0.8093611849201027,0.8028369593573818,0.9952377674978776,,
